Nama Perusahaan,Alamat,Kawasan/Kecamatan
PT. BETA SINARINDO,"Jl. Tanah Abang I No. 12 E, 200, 1, 1504, PT. BETA SINARINDO, Jl. Tanah Abang I No. 12 E, 300, 2, 1505, PT., SANDIPALA, ARTHAPUTRA, Jl. Tebet Raya Perkantoran, Tebet Mas Indah No. 5, 300, 2, 1506, PT. ATA INTERNATIONAL, INDUSTRI, Jl. Teuku Umar KM. 44,, Cikarang Barat, 400, 3, , PT. JAYA NURIMBA, Jl. Teuku Umar KM. 45,, CIbitung, Bekasi 17520, 300, 6, 1507, PT. JAYA NURIMBA, Jl. Teuku Umar KM. 45,, CIbitung, Bekasi 17520, 200, -, 1508, PT., SANDANG, MUTIARAERAMULIA, Jl. Tiang Bendera Utara No. 82, 100, -, 1509, PT. EMBOSSINDO UTAMA, Jl. Toko Tiga No. 28, Kelurahan, Roa, Malaka,, Kecamatan, Tambora, Jakarta Barat, , , 1510, PT. MAYORA INDAH Tbk, Jl. Tomang Raya No. 21-23, , , 1511, PT., INDOMURAYAMA, PRESS & DIES INDUSTRIES, Jl. Toyogiri Selatan , Desa, Jatimulya, Kec. Tambun, Kab., Bekasi, , , 1512, PT. MULTITECH ADVANCED, PRINTING INDONESIA, Jl. Trembesi Blok F 18 No. 1, Delta Silicon 3 Lippo Cikarang,, Cicau, Kec Cikarang Pusat, , , 1513, PT. KREASI DASATAMA, Jl. Yos Sudarso Kav. 85 Sunter, 100, 5, 1514, PT., IMPACK, PRATAMA, INDUSTRI, Jl. Yos Sudarso Kav. 85, Sunter, Jakarta Utara, , , 1515, PT., IMPACK, PRATAMA, INDUSTRI, Jl. Yos Sudarso Kav. 85, Sunter, Jakarta Utara, 100, 2, 1516, PT., IMPACK, PRATAMA, INDUSTRI, Jl. Yos Sudarso Kav. 85, Sunter, Jakarta Utara, 100, 3, 1517, PT., IMPACK, PRATAMA, INDUSTRI, Jl. Yos Sudarso Kav. 85, Sunter, Jakarta Utara, 200, 1, 1518, PT. SHINTANYLON UTAMA, Jl. Zainul Arifin  Blok B1 No. 23, Jakarta barat, 300, 3, 1519, PT. SHINTANYLON UTAMA, Jl. Zainul Arifin  Blok B1 No. 23, Jakarta barat, 150, 2, , , R A H A S I A, , , R A H A S I A, 223, , 1, 2, 3, 4, 5, 1520, PT. KALDEN INDONESIA, JL.JABABEKA II KAV. C 27-28,, BEKASI -, 200, 2, 1521, PT. CIKARANG PERKASA, MANUFACTURING, Jln. Beringin Blok F 5 N. 3-5, Delta Silicon II Industrial Park, Lippo Cikarang, 100, 2, 1522, PT., LANGGENG, ABADI, INDUSTRIAL CO. LTD., Jln. H. Juanda No. 38-E, Bekasi, - Jawa Barat, 100, 1, 1523, PT. TORAYA INDOWOOD, INDUSTRY, Jln. Kapten P. Tendean No. 20, B Rt. 011/03, Jakarta Selatan, 200, -, 1524, PT. ASIANA MULTIKREASI",Jababeka
PT. ASIANA MULTIKREASI,"TBK, Jln. Majapahit No. 18 - 22 Blok, B -24, 200, 2, 1526, PT., MITRA, JATINDO, SELARAS, Jln. Otista No. 80 A, 300, 5, 1527, PT., UNIPLASTINDO, INTERBUANA, Jln. Palem Raya Blok DS/11,, Lippo Cikarang, 100, -, 1528",Lainnya
PT.,"UNIPLASTINDO, INTERBUANA, Jln. Palem Raya Blok DS/11,, Lippo Cikarang, 100, 1, 1529",Lainnya
PT.,"SUKMA, BETA, SEMPURNA, Jln. Pecenongan No. 35 Jakarta, 100, 1, 1530, PT., INTERKIMIA, MEKARJAYA, Jln. Riau No. 10 Menteng, 100, 1, 1531, PT., LEMAHABANG, PERKASA, Jln. Surya Utama Blok V No. 26, Sunrise Garden, 50, -, 1532, PT., LEMAHABANG, PERKASA, Jln. Surya Utama Blok V No. 26, Sunrise Garden, 100, -, 1533, PT., LEMAHABANG, PERKASA, Jln. Surya Utama Blok V No. 26, Sunrise Garden, 100, -, 1534, PT., LEMAHABANG, PERKASA, Jln. Surya Utama Blok V No. 26, Sunrise Garden, 400, 2, 1535, PT. GALIC ARTABAHARI, Kampung, Cikedokan,, Desa, Sukadanau, Cikarang, 100, 1, 1536, PT. SENTRALINDO TEGUH, GEMILANG, Kampung Jarakosta RT 004, RW 002, Desa Sukadanau,, Kecamatan, Cikarang Barat,, Kabupaten Bekasi, 100, 1, 1537, PT. SENTRALINDO TEGUH, GEMILANG, Kampung Jarakosta RT 004, RW 002, Desa Sukadanau,, Kecamatan, Cikarang Barat,, Kabupaten Bekasi, 200, -, 1538, PT. REL-ION STERILIZATION, SERVICES, Kampung Meriuk RT.02 RW.02,, Desa Gandamekar, Kecamatan, Cikarang Barat,, 100, 2, 1539, PT., GUNUNG, GAHAPI, BAHARA, Kampung Tangsi RT. 03/RW., 03, Desa Sukadanau, Cikarang, Barat, 100, 4",Cikarang Barat
PT.,"GUNUNG, GAHAPI, BAHARA, Kampung Tangsi RT. 03/RW., 03, Desa Sukadanau, Cikarang, Barat, 100, 2",Lainnya
PT.,"PELANGI, CIMANDIRI, TEXTILE, KANINDO, PLAZA, LT, 11, GATOT SUBROTO KAV 23, 200, 1, 1542, PT. DELTAPACK INDUSTRI, Kawasan Bekasi International, Industrial~Estate (BIIE), Jl. Inti, III Blok C7 No. 7,~Desa Cibatu,, Kec., Cikarang, Selatan,~Bekasi,~Jawa Barat",Bekasi
PT. DELTAPACK INDUSTRI,"Kawasan Bekasi International, Industrial~Estate (BIIE), Jl. Inti, III Blok C7 No. 7,~Desa Cibatu,, Kec., Cikarang, Selatan,~Bekasi,~Jawa Barat",Bekasi
PT.,"LANGGENG, BAJAPRATAMA, Kawasan Industri Bekasi Fajar,, Blok A-2 Mekarwangi MM-2100, Industrial, Town, Phase, III,, Cibitung Bekasi, 17520, , , 1547, PT., ARISTEK, HIGHPOLYMER, Kawasan, Industri, Bekasi, International Estate, Jl. Inti, Raya Blok C-3 Kav. No. 6-10,, Cikarang Selatan, Bekasi, 200, 3, 1548, PT., MULTIKARYA, HASILPRIMA, Kawasan, Industri, dan, Pergudangan Marunda Center, Blok G-18 Jl. Marunda Makmur,, Kel. Segara Makmur Kec., Tarumajaya, , 100, , 5, 1549, PT., MULTIKARYA, HASILPRIMA, Kawasan, Industri, dan, Pergudangan Marunda Center, Blok G-18 Jl. Marunda Makmur,, Kel. Segara Makmur Kec., Tarumajaya, , , 1550, PT. TEGAR PRIMAJAYA, Kawasan, Industri, dan, pergudangan Marunda Center, Jalan Marunda Makmur Blok, No 1, Bekasi, 100, 2, 1551, PT. TEGAR PRIMAJAYA, Kawasan, Industri, dan, pergudangan Marunda Center, Jalan Marunda Makmur Blok, No 1, Bekasi, , , 1552, PT., EPITERMA, MAS, KONSTRUKSI, Kawasan Industri Delta Silicon, 2 Lippo Cikarang, Jl.Cempaka, Blok F.18 No.007, Desa Cicau,, Kecamatan Cikarang Pusat, , , 1553, PT., FOODEX, INTI, INGREDIENTS, Kawasan Industri Delta Silicon, 3 Lippo Cikarang, Jl. Soka Blok, F 18 No. 11-12, Desa Cicau,, Kecamatan Cikarang Pusat, , , 1554, PT. MOUNT ZUGSPITZE, Kawasan Industri Delta Silicon, II Lippo Cikarang, Jl. Trembesi,, Blok F5 No. 7, Desa Cibatu,, Kecamatan Cikarang Selatan,, Kabupaten Bekasi, 100, 2, , , R A H A S I A, , , R A H A S I A, 225, , 1, 2, 3, 4, 5, 1555, PT., PARAGON, PLASTIK, INDONESIA, Kawasan Industri Delta Silicon, V Lippo Cikarang, Jl. Kenari 2, Blok G1B No. 1-3, Desa, Cicau,Kecamatan, Cikarang, Pusat, Kabupaten Bekasi, 200, 1, 1556, PT. SUMMITPACK INDUSTRI, Kawasan Industri EJIP Plot 7J-, 2, Cikarang Selatan, Bekasi, 100, -, 1557, PT., SISKEM, ANEKA, INDONESIA, Kawasan Industri Greenland, Kav.Cluster Batavia Blok AB, 29-30 Kota Deltamas, Desa, Sukamahi,, Kecamatan, Cikarang Pusat, 100, 3, 1558, PT. PRANUARI ISMA TIKA, Kawasan Industri Greenland, Jl., Greenland II Blok AE 19, Cikarang, 100, -, 1559, PT. BONAVISTA POLYPACK, Kawasan, Industri, Hyundai, Lippo Cikarang,~Jl. Raya Intl, C3/11, Desa Cibatu,~Cikarang, Selatan, 200, 3",Delta Silicon
PT.,"BANSHU, PLASTIC, INDONESIA, Kawasan Industri Jababeka  Jl., Jababeka XIV  Blok J12B, Cikarang, Kabupaten Bekasi,, 100, 2, 1561, PT., TOTAN, GLOBAL, INDONESIA, Kawasan, Industri, Jababeka, Cikarang, Jl. Jababeka II Kav., C 16-T, Desa Pasirgombong,, Kecamatan Cikarang Utara, 200, 3, 1562, PT. TUNAS MAKMUR JAYA, ABADI, Kawasan, Industri, Jababeka, Cikarang, Jl. Jababeka III H, Blok C 17, Desa Pasirgombong,, Kecamatan Cikarang Utara, 200, 2, 1563, PT. DECALINDO PRATAMA, Kawasan Industri Jababeka I Jl., Jababeka III Blok C No. 17 AT,, Cikarang Utara, 200, 3, 1564, PT., TIGA, SEKAWAN, PERKASA, Kawasan Industri Jababeka I,, Jl. Jababeka II E, Blok C 16, K,L,M, Desa Pasir Gombong,, Kecamatan Cikarang Utara,, Bekasi, 300, 4, 1565, PT. MITRAPAK ERAMANDIRI, Kawasan Industri Jababeka I,, Jl. Jababeka IV Blok C4 - 5,, Desa, Pasirgombong,, Kecamatan Cikarang Utara,, Kabupaten Bekasi, 200, 2, 1566, CV. MATRACO KOMPONEN, Kawasan Industri Jababeka II,, Jl. Industri Selatan III A Blok, GG No. 2B, Desa Pasirsari,, Kecamatan Cikarang Selatan,, Kabupaten Bekasi, 200, 3, 1567, PT. ARSIP GEOSERVICES, INDONESIA, Kawasan Industri Jababeka II,, Jl. Industri Utara I Blok SS 12,, 14, 15, Desa Mekarmukti,, Kecamatan Cikarang Utara,, Kabupaten Bekasi, 200, 3, 1568, PT. KARANGBUANA INDAH, Kawasan Industri Jababeka Jl., Jababeka, XII, Blok, W-5,, Cikarang,, 300, 4, , , R A H A S I A, , , R A H A S I A, 226, , 1, 2, 3, 4, 5, 1569, PT. KARANGBUANA INDAH, Kawasan Industri Jababeka Jl., Jababeka, XII, Blok, W-5,, Cikarang,, 200, 2, 1570, PT. MEGATAMA SPRING, Kawasan, Industri, Jababeka, Thp. II, Blok MM/11, Cikarang,, Bekasi, 100, -, 1571",Jababeka
PT. DAIRYGOLD INDONESIA,"Kawasan, Industri, Jababeka, TOB Blok C/18 C, Pasirsari,, Cikarang Selatan, 200, 4, 1572",Jababeka
PT.,"BUMIMULIA, INDAH, LESTARI, Kawasan Industri Jababeka,, ~Jl. Jababeka No. XVI Kav. 65, A, ~Bekasi 17750, 200, -, 1573",Jababeka
PT.,"BUMIMULIA, INDAH, LESTARI, Kawasan Industri Jababeka,, ~Jl. Jababeka No. XVI Kav. 65, A, ~Bekasi 17750, 300, 3, 1574",Jababeka
PT.,"BUMIMULIA, INDAH, LESTARI, Kawasan Industri Jababeka,, ~Jl. Jababeka No. XVI Kav. 65, A, ~Bekasi 17750, 200, 3, 1575",Jababeka
PT.,"BUMIMULIA, INDAH, LESTARI, Kawasan Industri Jababeka,, ~Jl. Jababeka No. XVI Kav. 65, A, ~Bekasi 17750, 300, 4, 1576",Jababeka
PT.,"BUMIMULIA, INDAH, LESTARI, Kawasan Industri Jababeka,, ~Jl. Jababeka No. XVI Kav. 65, A, ~Bekasi 17750, 100, -, 1577",Jababeka
PT.,"MENARA, TERUS, MAKMUR, Kawasan Industri Jababeka,, Cikarang, Jl. Jababeka XI, Blok, H-3, No. 12, 100, -, 1578, PT., MENARA, TERUS, MAKMUR, Kawasan Industri Jababeka,, Cikarang, Jl. Jababeka XI, Blok, H-3, No. 12, 100, 2, 1579, PT., MENARA, TERUS, MAKMUR, Kawasan Industri Jababeka,, Cikarang, Jl. Jababeka XI, Blok, H-3, No. 12, 200, 2, 1580, PT., BINA, NIAGA, MULTIUSAHA, Kawasan Industri Jababeka, Jl., Industri Selatan 4 blok PP No., 4,, Desa, Pasirsari,, Kec., Cikarang Selatan, 200, 4, 1581, PT., BINA, NIAGA, MULTIUSAHA, Kawasan Industri Jababeka, Jl., Industri Selatan 4 blok PP No., 4,, Desa, Pasirsari,, Kec., Cikarang Selatan, 200, 4, 1582, PT. BERNADI UTAMA, Kawasan, Jababeka,, Jl., Jababeka II Blok C No. 26,, Desa, Pasirgombong,, Kecamatan Cikarang Utara,, Kabupaten Bekasi, 200, 4, 1583, PT., SARANA, CHROME, PERSADA, Kawasan Industri Jababeka, Jl., Jababeka XVII E Blok U No. 25, B-C,, 100, -, 1584, PT. BIOTEK INDONESIA, Kawasan, Industri, Lippo, Cikarang, Jl. M.H. Thamrin Blok, A-10 No. 3, Delta Silicon, Industrial Park, Lippo Cikarang,, Bekasi, 100, -, , , R A H A S I A, , , R A H A S I A, 227, , 1, 2, 3, 4, 5, 1585, PT. SURYA LESTARI SINAR, MAKMUR, Kawasan, Industri, Lippo, Cikarang, Jl. Palem I Blok DS, No. 1 Boston Techno Park,, Desa, Cibatu,, Kecamatan, Cikarang Selatan,, 100, 2, 1586, PT. TRIMITRA CIKARANG, Kawasan, Industri, Lippo, CIkarang, Jl. Waru Blok F2-006,, Delta Silicon II, 300, 3, 1587, PT. ARTA ABADI, Kawasan, Industri, Lippo, Cikarang,~Jl. Akasia II Kav.A 5-, 9, Ds. SukaresmiKec.Cikarang, Selatan, Kab. Bekasi, 100, 2",Jababeka
PT. ARTA ABADI,"Kawasan, Industri, Lippo, Cikarang,~Jl. Akasia II Kav.A 5-, 9,, Ds., Sukaresmi,~Kec.Cikarang, Selatan, Kab. Bekasi",Bekasi
PT. SAURINDOTEX MANDIRI,"Kawasan Industri Lippo City, Cikarang City Blok J5-6, 18, Newton Techno Park Lippo, 200, 4, 1590, PT., SURYASUKSES, ADI, PERKASA, Kawasan MM 2100,~Jl. Selayar, Blok, B3-1,~Mekarwangi,, Cikarang Barat,~Bekasi,, 300",MM2100
PT. SETIA GUNA SEJATI,"Kawasan Industri MM2100  Jl., Irian Blok HH-3 Desa Jatiwangi,, Kec. Cikarang Barat, 200, 3, 1592, PT., NUSAHADI, CITRAHARMONIS, Kawasan Industri MM2100, Jl., Halmahera Blok DD-4, Cibitung, 300, 3, 1593, PT., DIAMOND, COLD, STORAGE, Kawasan Industri MM2100, Jl., Halmahera Blok EE-2, Cibitung,, Cikarang Barat, 200, 2, 1594, PT., DIAMOND, COLD, STORAGE, Kawasan Industri MM2100, Jl., Halmahera Blok EE-2, Cibitung,, Cikarang Barat, 100, -, 1595, PT., DIAMOND, COLD, STORAGE, Kawasan Industri MM2100, Jl., Halmahera Blok EE-2, Cibitung,, Cikarang Barat, 200, -, 1596, PT., DIAMOND, COLD, STORAGE, Kawasan Industri MM2100, Jl., Halmahera Blok EE-2, Cibitung,, Cikarang Barat, 800, 9, 1597, PT. SUKANDA DJAYA, Kawasan Industri MM2100, Jl., Irian Blok FF-2, Cibitung Kab., Bekasi, 200, 1, 1598, PT. TIRTA ALAM SEGAR, Kawasan Industri MM2100, Jl., Kalimantan Blok B1-2 Desa, Gandamekar, Kec. Cikarang, Barat, 200, -, 1599, PT. TIRTA ALAM SEGAR, Kawasan Industri MM2100, Jl., Kalimantan Blok B1-2 Desa, Gandamekar, Kec. Cikarang, Barat, 100, -, 1570, PT. TIRTA ALAM SEGAR, Kawasan Industri MM2100, Jl., Kalimantan Blok B1-2 Desa, Gandamekar, Kec. Cikarang, Barat, 100, -, 1571, PT. ADVANCE STABILINDO, INDUSTRY, Kawasan Industri MM2100, Jl., Sulawesi, III, Blok, M-29,, Cikarang Barat, Bekasi, 100, -, , , R A H A S I A, , , R A H A S I A, 228, , 1, 2, 3, 4, 5, 1572, PT. ADVANCE STABILINDO, INDUSTRY, Kawasan Industri MM2100, Jl., Sulawesi, III, Blok, M-29,, Cikarang Barat,, 200, 2, 1573, PT., BUMIPUTRA, MANUFAKTUR TEKNOLOGI, Kawasan, Industri, MM2100,, Jl.Selayar Blok C1 No. 19,, Desa Mekarwangi, Kecamatan, Cikarang Barat, 100, 2, 1574, PT., BUMIPUTRA, MANUFAKTUR TEKNOLOGI, Kawasan, Industri, MM2100,, Jl.Selayar Blok C1 No. 19,, Desa Mekarwangi, Kecamatan, Cikarang Barat, 200, -, 1575, PT. REXPLAST, Kawasan Industri PIER, Jl., Berbek Industri V/10 Waru,, Sidoarjo, 200, 2, 1576",MM2100
PT. KOSTEC INDONESIA,"Kawasan, Jababeka, I,, Jl., Jababeka IX Blok K No.4D,, Cikarang, 200, -, 1577, PT. KOSTEC INDONESIA, Kawasan, Jababeka, I,, Jl., Jababeka IX Blok K No.4D,, Cikarang, 100, 2, 1578, PT. BEVANANDA MUSTIKA, Kawasan Lippo Cikarang Blok, J5 No. 12 Newton Park,, Lemahabang, 100, 1, 1579, PT. BEVANANDA MUSTIKA, Kawasan Lippo Cikarang Blok, J5 No. 12 Newton Park,, Lemahabang, 200, 2, 1580, PT. TOP PLASTS, Kawasan Marunda Center Blok, B 18 dan 40, RT. 06/RW. 06, Desa, Segaramakmur, Kec., Tarumajaya",Jababeka
PT. GLOPAC INDONESIA,"Kawasan Newton Technopark,, Jl. Jati 5 Blok J4 No. 3 Lippo, Cikarang,, Desa, Serang,, Kecamatan Cikarang Selatan, 200, 2, 1582, PT., BERKAT, AGRO, NUSANTARA, Komplek Batik Kav. 10, Desa, Mekarwangi,, Kecamatan, Cikarang Barat, 300, 2, 1583, PT. INTAN ANGKASA AIR, SERVICE, Komplek Industri KIMU Jl. Pintu, Gerbang Tol Cibitung, Desa, Gandasari, Bekasi-17520, Jawa, Barat, 200, , 1584, PT., KARYA, BAHANA, BERLIAN, Komplek Pertokoan ""Pulo Mas"", Blok III Kav. 3-4 Jakarta 13260, 200, 2, 1585",Cikarang Barat
PT.,"KARYA, BAHANA, BERLIAN, Komplek Pertokoan ""Pulo Mas"", Blok III Kav. 3-4 Jakarta 13260, 100, -, 1586",Lainnya
PT.,"KARYA, BAHANA, BERLIAN, Komplek Pertokoan ""Pulo Mas"", Blok III Kav. 3-4 Jakarta 13260, 200, 1, 1587",Lainnya
PT. JAGAD KARIMBANUSA,"Kompleks, Ketapang, Indah, B2/22 Jl. KH. Zainul Arifin 14-20, Jakarta, 100, -, 1588",Lainnya
PT. SAKA INDAH ABADI,"Kp. Cikedokan RT.005 RW.009,, Desa Sukadanau, Kecamatan, Cikarang, Barat,, Kabupaten, Bekasi, 200, 1, 1589, PT., SARANAPRIMA, NUSANTARA ABADI, Kp. Cikendokan RT. 05/RW., 12,~Ds. Sukadanau, Cikarang, Barat~Bekasi, 300, 2",Bekasi
PT. WIRA MUSTIKA ABADI,"Kp. Jarakosta RT. 003/RW., 002, Ds. Sukadanau, Kec., Cikarang Barat,, 300, 2",Cikarang Barat
PT. DIBLESTARI DJAUHARI,"Kp. Kedung Rawa No. 280 Rt., 08/01 Setia Mekar, Tambun, 400, 3, 1582, PT.",Tambun
PT. GUNUNG GARUDA,"Kp. Tangsi, RT. 003/RW. 003,, Sukadanau, Cikarang Barat,, 200, -, 1584",Cikarang Barat
PT. GUNUNG GARUDA,"Kp. Tangsi, RT. 003/RW. 003,, Sukadanau, Cikarang Barat,, 100, -, 1585",Cikarang Barat
PT.,"DUMA, ALBUM, INTERNATIONAL, Kp. Telajung RT. 001/08 No. 70, Desa Telajung, Kec. Cikarang, BaratRT. 001/RW. 08 No.70, 100, 1",Lainnya
PT.,"YOSILINDO, ANEKA, COKELAT INDUSTRI, Mangga Dua Plaza Blok B No., 7 Jl. Mangga Dua Raya, 200, 1, 1587, PT. KAWASAN INDUSTRI, JABABEKA, Menara Batavia, Lantai 25 Jl., K.H. Mas Mansyur Kav. 126, 100, 1, 1588, PT. KAWASAN INDUSTRI, JABABEKA, Menara Batavia, Lantai 25 Jl., K.H. Mas Mansyur Kav. 126, 100, 1, 1589, PT. KAWASAN INDUSTRI, JABABEKA, Menara Batavia, Lantai 25 Jl., K.H. Mas Mansyur Kav. 126, 100, 1, 1590, PT. CITRA BUANA BETON, PERKASA, Menara Bumi Daya Plaza Lt., 25, Jl. Imam Bonjol No. 61,, Jakarta Pusat, 100, 1, 1591, PT. CITRA BUANA BETON, PERKASA, Menara Bumi Daya Plaza Lt., 25, Jl. Imam Bonjol No. 61,, Jakarta Pusat, 100, 1, 1592, PT., MAKANAN, SEHAT, NUSANTARA, Menara Hijau Lt. 6, Jl. MT., Haryono Kav. 33 Kel. Cikoko,, Kecamatan Pancoran, Jakarta, Selatan 12770, 100, 2, 1593, PT. CIPTA MORTAR UTAMA, Menara Sudirman Lantai 11,, Jalan Jend. Sudirman Kav. 60,, Jakarta Selatan 12190, 200, 1, 1594, PT., WILMAR, CAHAYA, Indonesia Tbk, Multivision Tower, Lt. 12, Jl., Kuningan, Mulya, Kav., 9B,, Guntur Setiabudi, 100, -, 1595, PT. MALINDO IRFAN, Newton Techno Park Lippo, Cikarang, Jl. Jati V Blok J-5 / 1,, 100, 3, 1596, PT. MALINDO IRFAN",Jababeka
PT.,"SINAR, MAS, AGRO, RESOURCES, &amp;, TECHNOLOGY, TBK., (PT., SMART TBK.)",Lainnya
PT. GT UTAMA GARMENTS,"Plaza GRI Lantai 18 Jl. HR., Rasuna Said Blok X-2 No. 1, 100, 2, 1599, PT., INDOFOOD, SUKSES, MAKMUR TBK., Plaza Indofood Tower Lantai, 27,~Gedung, Sudirman, Plaza,~Jl. Jend. Sudirman Kav., 76-78, 200",Lainnya
PT.,"INDOFOOD, SUKSES, MAKMUR TBK., Plaza Indofood Tower Lantai, 27,~Gedung, Sudirman, Plaza,~Jl. Jend. Sudirman Kav., 76-78, 200",Lainnya
PT.,"LAZUARDI, RUKUN, PERKASA, Rukan Plaza Sunter Terrace, Blok. C8 Jl. Danau Sunter Utara, L60, Kelurahan Sunter Agung,, Kecamatan, Tanjung, Priok,, Jakarta Utara, 300, 4, 1603, PT. DALZON CHEMICALS, INDONESIA, Ruko Cempaka Mas Blok K No., 22, Sumur Batu, Kemayoran,, 200, 2, 1604, PT., ALTIKAMURNI, INTERNUSA, Ruko Kemang Pratama, Jl., Duta I, Blok MM32,, 200, 3, 1605, PT., ALTIKAMURNI, INTERNUSA, Ruko Kemang Pratama, Jl., Duta I, Blok MM32,, 200, 3, 1606, PT. SISTEM JENDELAINDO, Ruko Palazzo, Jl. Benyamin, Syueb Blok B Unit A.21,, Kelurahan, Kebon, Kosong,, Kecamatan Kemayoran, 300, 4, 1607, PT., HOWEZEN, INDAH, INDUSTRY, Ruko Vila Gading Indah Blok, A2/A3, Jl. Boulevard Bukit, Gading Raya, Kel. Kelapa, Gading, Barat,, Kecamatan",Lainnya
PT.,"SINAR, RAFLESIA, SELATAN, Sentra Bisnis Harapan Indah, Blok SN No. 18, Kelurahan, Pejuang, Kecamatan Medan, Satria, Kota Bekasi, Provinsi, Jawa Barat, 100, -, 1609, PT., TRANS, RETAIL, INDONESIA, Sunset Road Kota Denpasar,, Provinsi Bali.Carrefour Lebak, Bulus, Lantai 3, Jl. Lebak Bulus, Raya No. 8, Kel. Pondok, Pinang, Kec. Kebayoran Lama, 200, 4, 1610, PT., TRANS, RETAIL, INDONESIA, Sunset Road Kota Denpasar,, Provinsi Bali.Carrefour Lebak, Bulus, Lantai 3, Jl. Lebak Bulus, Raya No. 8, Kel. Pondok, Pinang, Kec. Kebayoran Lama, 200, -, 1611, PT. DUTA HITA JAYA, Taman Pegangsaan Indah Blok, A No. 3-5, Jl. Pegangsaan Dua,, Kelapa Gading, 300, 3, 1612, PT. INNI HARMONY JAYA, Taman Sentosa Blok G3, No. 6,, RT. 028/RW. 007, Pasirsari,, Cikarang Selatan, 200, 3, 1613",Cikarang Selatan
PT. WAHANA MATRASEJATI,"Tara Building Jl. KH. Hasyim, Ashari No. 37 A JAKARTA, 300, 4, 1614, PT., FAJARGEMILANG, SAPUTRA, Villa Batik, Lippo City Blok H-, Lemah Abang, 100, -, 1615, PT., INDOALUMINIUM, INTIKARSA INDUSTRI, Wisma  Indocement Lt.16, Jl., Jend., Sudirman, Kav.70-71,, Jakarta Selatan, 100, -, 1616, PT., BEKASI, FAJAR, INDUSTRIAL ESTATE TBK., Wisma Argo Manunggal Lantai, 10,~Jl. Jend. Gatot Subroto, Kav. 22, RT 003/RW 002,~Kel., Karet Semanggi, Kec. Setiabudi, 100, 2",Bekasi
PT.,"BEKASI, FAJAR, INDUSTRIAL ESTATE TBK., Wisma Argo Manunggal Lantai, 10,~Jl. Jend. Gatot Subroto, Kav. 22, RT 003/RW 002,~Kel., Karet Semanggi, Kec. Setiabudi, 200, 2",Bekasi
PT. BAKRIE CORRUGATED,"METAL INDUSTRY, Wisma Bakrie Lt IV Jl. HR., Rasuna Said Kav. B-1, 200, 4, 1619, PT., HARBOUR, RING, DHARMALA, Wisma Dharmala Sakti, Lt. 16, Jl. Jend. Sudirman kav. 32,, Jakarta 10220, 200, 4, 1620, PT. PIONIRBETON INDUSTRI, Wisma Indocement Lantai 15,, Jl. Jend. Sudirman Kav. 70-71., 200, 4, 1621, PT., SWASTHI, PARAMA, MULYA, Wisma Indocement, Lantai 6, Jl., Jenderal Sudirman Kav. 70-71,, Jakarta, 100, -, 1622, PT. KARTIKA SASANA BOGA, Wisma Intan JL. Matraman, Raya 134 Jakarta 13150, 100, -, 1623, PT., METRODATA, ELECTRONICS, Wisma Metropolitan I Lt. 16 Jl., Jend. Sudirman Kav. 29-31., JAKARTA - SELATAN, 100, 2, 1624, PT. MULIAGLASS, Wisma Mulia Lantai 53, ~Jl., Jenderal Gatot Subroto No. 42,, ~Kuningan Barat, Mampang, Prapatan, 300",Lainnya
PT. MULIAGLASS,"Wisma Mulia Lantai 53, ~Jl., Jenderal Gatot Subroto No. 42,, ~Kuningan Barat, Mampang, Prapatan, 100",Lainnya
